"time","station","elasmo","sensor.value","sensor.unit","location","Agency","Species"
2017-01-11 01:23:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 01:25:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 01:28:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 01:31:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 01:33:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 01:35:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 04:46:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 04:47:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 04:49:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 04:51:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 04:53:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 04:55:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 04:57:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 04:59:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 05:02:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 05:04:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 05:06:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 15:13:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 15:23:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 15:25:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:31:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:33:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:38:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:40:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:42:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:44:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:46:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:49:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:51:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:53:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 18:56:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 19:09:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:15:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:17:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:18:00,125907,"16961",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:19:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:21:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:24:00,125907,"16961",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:25:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:26:00,125907,"16961",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:27:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:28:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:30:00,125907,"16961",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:31:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:32:00,125907,"16961",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:41:00,125907,"16961",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 21:43:00,125907,"16961",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 23:33:00,104673,"16961",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 23:35:00,104673,"16961",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 23:37:00,104673,"16961",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 23:40:00,104673,"16961",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 23:42:00,104673,"16961",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 23:45:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-11 23:59:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:00:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:03:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:05:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:10:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:12:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:15:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:16:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:17:00,104673,"16961",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:18:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:20:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 00:24:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:01:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:03:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:06:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:09:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:11:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:12:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:14:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:17:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:19:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:21:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:23:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:25:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:37:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:39:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:42:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:49:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 01:51:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 07:33:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
