"GPS.N","GPS.W","location","location.code","mooring","Hobo.present","Agency","depth","habitattype","year"
"27.1782","-80.19686","Hell's gate west","GGHW",NA,"n","FWC","<3","Sand, mud, hash",NA
"26.79068","-80.01223","LAVA","LAVA",NA,"n","FWC",NA,NA,"n"
"27.04505","-80.04326","MIBA","MIBA",NA,"n","FWC",NA,NA,NA
"27.00286","-80.02556","NORO","NORO",NA,"n","FWC",NA,NA,NA
"26.7715","-80.032","Palm Beach Inlet","PBIS",NA,"n","FWC","8","Sand and rocks",NA
"26.79133","-80.00715","PBR1","PBR1",NA,"n","FWC",NA,NA,"n"
"26.78216","-80.02256","PBR2","PBR2",NA,"n","FWC",NA,NA,"n"
"27.12212","-80.12803","Peck's Lake","PELA",NA,"n","FWC",NA,NA,"n"
"27.22275","-80.11605","PIBA","PIBA",NA,"n","FWC",NA,NA,NA
"27.86253","-80.44516","Sebastian Inlet North Jetty","SINJ",NA,"n","FWC","5","Sand, rocks",NA
"27.85725","-80.45115","Sebastian Inlet South","SISO",NA,"n","FWC",NA,NA,"n"
"27.8602","-80.44933","Sebastian Inlet Wading Pool","SIWP",NA,"n","FWC",NA,NA,"n"
"27.1665","-80.14886","SL Detached Jetty","SLDJ",NA,"n","FWC","<3","Sand",NA
"27.1652","-80.16315","SL Weather Station","SLWS",NA,"n","FWC","<3","Sand, mud",NA
"27.20075","-80.09491","SLIB","SLIB",NA,"n","FWC",NA,NA,NA
"26.86307","-80.02078","SNSO","SNSO",NA,"n","FWC",NA,NA,NA
"27.20068","-80.15405","St Lucie Recon 1","SLR1",NA,"n","FWC",NA,NA,"n"
"27.20386","-80.0548","St Lucie Recon 10","SLR10",NA,"n","FWC",NA,NA,NA
"27.20235","-80.1461","St Lucie Recon 2","SLR2",NA,"n","FWC",NA,NA,"n"
"27.20446","-80.13725","St Lucie Recon 3","SLR3",NA,"n","FWC",NA,NA,"n"
"27.20636","-80.12725","St Lucie Recon 4","SLR4",NA,"n","FWC",NA,NA,"n"
"27.20811","-80.11861","St Lucie Recon 5","SLR5",NA,"n","FWC",NA,NA,"n"
"27.20221","-80.08743","St Lucie Recon 6","SLR6",NA,"n","FWC",NA,NA,NA
"27.20241","-80.07931","St Lucie Recon 7","SLR7",NA,"n","FWC",NA,NA,NA
"27.20278","-80.07046","St Lucie Recon 8","SLR8",NA,"n","FWC",NA,NA,NA
"27.20366","-80.06233","St Lucie Recon 9","SLR9",NA,"n","FWC",NA,NA,NA
"26.78981","-80.0169","TECO","TECO",NA,"n","FWC",NA,NA,NA
"27.19195","-80.10846","TERE","TERE",NA,"n","FWC",NA,NA,NA
"27.00541","-80.06711","THCE","THCE",NA,"n","FWC",NA,NA,NA
"27.00456","-80.06661","THSO","THSO",NA,"n","FWC",NA,NA,NA
"27.46043","-80.3179","TUBA","TUBA",NA,"n","FWC",NA,NA,NA
"26.94715","-80.03178","TUCA","TUCA",NA,"n","FWC",NA,NA,NA
"26.95273","-80.03245","TUCAN","TUCAN",NA,"n","FWC",NA,NA,NA
"27.23243","-80.11173","UPDB","UPDB",NA,"n","FWC",NA,NA,NA
"27.65132","-80.37415","VBNB","VBNB",NA,"n","FWC",NA,NA,NA
"27.8868","-83.86615","1","1",NA,"n","FWC",NA,NA,NA
"27.535667","-82.809833","13","13",NA,"n","FWC",NA,NA,NA
"27.452833","-82.73","17","17",NA,"n","FWC",NA,NA,NA
"27.3965","-82.678333","19","19",NA,"n","FWC",NA,NA,NA
"27.8903","-83.87345","2","2",NA,"n","FWC",NA,NA,NA
"26.8915","-82.415883","235","235",NA,"n","FWC",NA,NA,NA
"26.807367","-82.406483","237","237",NA,"n","FWC",NA,NA,NA
"27.642183","-82.8684","24","24",NA,"n","FWC",NA,NA,NA
"26.720033","-82.294067","242","242",NA,"n","FWC",NA,NA,NA
"26.628067","-82.355367","243","243",NA,"n","FWC",NA,NA,NA
"26.628383","-82.312883","244","244",NA,"n","FWC",NA,NA,NA
"26.628367","-82.273367","245","245",NA,"n","FWC",NA,NA,NA
"26.535267","-82.312883","246","246",NA,"n","FWC",NA,NA,NA
"26.5352","-82.270617","247","247",NA,"n","FWC",NA,NA,NA
"26.66625","-82.34305","249","249",NA,"n","FWC",NA,NA,NA
"26.55215","-82.284867","250","250",NA,"n","FWC",NA,NA,NA
"27.514867","-82.844983","27","27",NA,"n","FWC",NA,NA,NA
"34.57016","-77.34408","27","27",NA,"n","UNC Institute of Marine Science",NA,NA,NA
"27.472533","-82.7553","28","28",NA,"n","FWC",NA,NA,NA
"34.55588","-77.36723","28","28",NA,"n","UNC Institute of Marine Science",NA,NA,NA
"26.582833","-82.311883","283","283",NA,"n","FWC",NA,NA,NA
"27.00025","-82.466933","285","285",NA,"n","FWC",NA,NA,NA
"26.975","-82.512517","286","286",NA,"n","FWC",NA,NA,NA
"26.79805","-82.375","288","288",NA,"n","FWC",NA,NA,NA
"27.457183","-82.8234","29","29",NA,"n","FWC",NA,NA,NA
"34.55996","-77.34738","29","29",NA,"n","UNC Institute of Marine Science",NA,NA,NA
"27.8944","-83.92093","3","3",NA,"n","FWC",NA,NA,NA
"27.424517","-82.76415","30","30",NA,"n","FWC",NA,NA,NA
"34.53024","-77.37393","30","30",NA,"n","UNC Institute of Marine Science",NA,NA,NA
"27.379233","-82.729717","31","31",NA,"n","FWC",NA,NA,NA
"34.53759","-77.36752","31","31",NA,"n","UNC Institute of Marine Science",NA,NA,NA
"27.377533","-82.7733","32","32",NA,"n","FWC",NA,NA,NA
"27.433733","-82.804467","33","33",NA,"n","FWC",NA,NA,NA
"27.9014","-83.90618","4","4",NA,"n","FWC",NA,NA,NA
"27.8842","-83.8995","5","5",NA,"n","FWC",NA,NA,NA
"27.88908","-83.86775","7","7",NA,"n","FWC",NA,NA,NA
"27.88681","-83.86894","8","8",NA,"n","FWC",NA,NA,NA
"27.8882","-83.87154","9","9",NA,"n","FWC",NA,NA,NA
"24.83175","-80.62876667","60","60",NA,"n","FWC","35.4","inshore",NA
"24.85643333","-80.64843333","66","66",NA,"n","FWC",NA,NA,NA
"24.84866667","-80.64215","67","67",NA,"n","FWC",NA,NA,NA
"24.84056667","-80.63573333","68","68",NA,"n","FWC",NA,NA,NA
"24.59558333","-80.59265","H409","H409",NA,"n","FWC",NA,NA,NA
"24.80336667","-80.44455","HIS","HIS",NA,"n","FWC",NA,NA,NA
"25.01391667","-80.28378333","HKL","HKL",NA,"n","FWC","27.12","seamount",NA
"24.9064","-80.52633333","IS01","IS01",NA,"n","FWC",NA,NA,NA
"24.90863","-80.51893","IS02","IS02",NA,"n","FWC","5.5",NA,NA
"24.90153","-80.52052","IS03","IS03",NA,"n","FWC","11.6",NA,"n"
"24.90372","-80.51308","IS04","IS04",NA,"n","FWC","11.3",NA,"n"
"24.89898","-80.50695","IS05","IS05",NA,"n","FWC",NA,NA,NA
"25.18681667","-80.2342","KL01","KL01",NA,"n","FWC",NA,NA,NA
"25.19108333","-80.22785","KL02","KL02",NA,"n","FWC",NA,NA,NA
"25.18372","-80.22688","KL03","KL03",NA,"n","FWC","4",NA,"n"
"25.18813333","-80.22055","KL04","KL04",NA,"n","FWC",NA,NA,NA
"25.18092","-80.2197","KL05","KL05",NA,"n","FWC","8.2",NA,"n"
"25.18513","-80.21338","KL06","KL06",NA,"n","FWC","9.7",NA,"n"
"24.51306","-81.915366","KW02","KW02",NA,"n","FWC",NA,NA,NA
"24.50828","-81.9214","KW03","KW03",NA,"n","FWC",NA,NA,NA
"24.506","-81.91401","KW04","KW04",NA,"n","FWC",NA,NA,NA
"24.50115","-81.91993","KW05","KW05",NA,"n","FWC",NA,NA,NA
"24.49883","-81.91253","KW06","KW06",NA,"n","FWC",NA,NA,NA
"24.49411","-81.91853","KW07","KW07",NA,"n","FWC",NA,NA,NA
"24.48701667","-81.91708333","KW09","KW09",NA,"n","FWC",NA,NA,NA
"24.48468333","-81.90966667","kw10","kw10",NA,"n","FWC",NA,NA,NA
"24.47985","-81.91563","KW11","KW11",NA,"n","FWC",NA,NA,NA
"24.4777","-81.90803333","KW12","KW12",NA,"n","FWC",NA,NA,NA
"24.4728","-81.9142","KW13","KW13",NA,"n","FWC",NA,NA,NA
"24.4704","-81.90671667","KW14","KW14",NA,"n","FWC",NA,NA,NA
"24.46553333","-81.91236667","KW15","KW15",NA,"n","FWC",NA,NA,NA
"24.46298","-81.905133","KW16","KW16",NA,"n","FWC",NA,NA,NA
"24.45843","-81.91097","KW17","KW17",NA,"n","FWC",NA,NA,NA
"24.45616667","-81.90353333","KW18","KW18",NA,"n","FWC",NA,NA,NA
"24.45136667","-81.9095","KW19","KW19",NA,"n","FWC",NA,NA,NA
"24.4491","-81.90192","KW20","KW20",NA,"n","FWC",NA,NA,"n"
"24.44427","-81.90797","KW21","KW21",NA,"n","FWC",NA,NA,"n"
"24.44198","-81.90042","KW22","KW22",NA,"n","FWC",NA,NA,NA
"24.43697","-81.90628","KW23","KW23",NA,"n","FWC",NA,NA,NA
"24.43517","-81.8985","KW24","KW24",NA,"n","FWC",NA,NA,NA
"24.4337","-81.94855","LKA01","LKA01",NA,"n","FWC",NA,NA,NA
"24.4317","-81.9656","LKA02","LKA02",NA,"n","FWC",NA,NA,NA
"24.4334","-81.945","LKA03","LKA03",NA,"n","FWC",NA,NA,NA
"24.4303","-81.9456","LKA04","LKA04",NA,"n","FWC",NA,NA,NA
"24.4298","-81.9422","LKA05","LKA05",NA,"n","FWC",NA,NA,NA
"24.4304","-81.9388","LKA06","LKA06",NA,"n","FWC",NA,NA,NA
"24.4305","-81.9353","LKA07","LKA07",NA,"n","FWC",NA,NA,NA
"24.4307","-81.9318","LKA08","LKA08",NA,"n","FWC",NA,NA,NA
"24.4309","-81.9284","LKA09","LKA09",NA,"n","FWC",NA,NA,NA
"24.4313","-81.9251","LKA10","LKA10",NA,"n","FWC",NA,NA,NA
"24.43447","-81.92423","LKA11","LKA11",NA,"n","FWC",NA,NA,NA
"24.4379","-81.92427","LKA12","LKA12",NA,"n","FWC",NA,NA,NA
"24.43822","-81.92772","LKA13","LKA13",NA,"n","FWC",NA,NA,NA
"24.43785","-81.93123","LKA14","LKA14",NA,"n","FWC",NA,NA,NA
"24.43828","-81.93463","LKA15","LKA15",NA,"n","FWC",NA,NA,NA
"24.43828","-81.93813","LKA16","LKA16",NA,"n","FWC",NA,NA,NA
"24.43767","-81.9416","LKA17","LKA17",NA,"n","FWC",NA,NA,NA
"24.43762","-81.94508","LKA18","LKA18",NA,"n","FWC",NA,NA,NA
"24.4475","-81.8975","LKA19","LKA19",NA,"n","FWC",NA,NA,NA
"24.4429","-81.9456","LKA19A","LKA19A",NA,"n","FWC",NA,NA,NA
"24.4463","-81.8971","LKA20","LKA20",NA,"n","FWC",NA,NA,NA
"24.57361111","-82.06138889","LKA20A","LKA20A",NA,"n","FWC",NA,NA,NA
"24.4672","-81.7969","LKA21","LKA21",NA,"n","FWC",NA,NA,NA
"24.4654","-81.7967","LKA22","LKA22",NA,"n","FWC",NA,NA,NA
