"GPS.N","GPS.W","location","location.code","mooring","Hobo.present","Agency","depth","habitattype","year"
"24.467","-81.7778","LKA23","LKA23",NA,"n","FWC",NA,NA,NA
"24.4635","-81.778","LKA24","LKA24",NA,"n","FWC",NA,NA,NA
"24.4581","-81.7776","LKA25","LKA25",NA,"n","FWC",NA,NA,NA
"24.4582","-81.7742","LKA26","LKA26",NA,"n","FWC",NA,NA,NA
"24.4583","-81.7707","LKA27","LKA27",NA,"n","FWC",NA,NA,NA
"24.4644","-81.7706","LKA28","LKA28",NA,"n","FWC",NA,NA,NA
"24.4679","-81.7709","LKA29","LKA29",NA,"n","FWC",NA,NA,NA
"24.4674","-81.7746","LKA30","LKA30",NA,"n","FWC",NA,NA,NA
"24.467","-81.7329","LKA31","LKA31",NA,"n","FWC",NA,NA,NA
"24.4644","-81.733","LKA32","LKA32",NA,"n","FWC",NA,NA,NA
"24.5066","-81.5747","LKA33","LKA33",NA,"n","FWC",NA,NA,NA
"24.5058","-81.5747","LKA34","LKA34",NA,"n","FWC",NA,NA,NA
"24.46845","-82.217","Marquesas Line 1","MQ-1",NA,"n","FWC",NA,NA,NA
"24.46478","-82.22385","Marquesas Line 2","MQ-2",NA,"n","FWC",NA,NA,NA
"24.4615","-82.21661","Marquesas Line 3","MQ-3",NA,"n","FWC",NA,NA,NA
"24.45755","-82.2235","Marquesas Line 4","MQ-4",NA,"n","FWC",NA,NA,NA
"24.4542","-82.21655","Marquesas Line 5","MQ-5",NA,"n","FWC",NA,NA,NA
"24.45213","-82.2239","Marquesas Line 6","MQ-6",NA,"n","FWC",NA,NA,"n"
"24.6617","-81.06501","MT01","MT01",NA,"n","FWC",NA,NA,NA
"24.66123","-81.05708","MT02","MT02",NA,"n","FWC",NA,NA,NA
"24.65516","-81.06141","MT03","MT03",NA,"n","FWC",NA,NA,NA
"24.6547","-81.0535","MT04","MT04",NA,"n","FWC",NA,NA,NA
"24.64853","-81.05795","MT05","MT05",NA,"n","FWC",NA,NA,NA
"24.64811","-81.05005","MT06","MT06",NA,"n","FWC",NA,NA,NA
"24.64193","-81.05446","MT07","MT07",NA,"n","FWC",NA,NA,NA
"24.64156","-81.04663","MT08","MT08",NA,"n","FWC",NA,NA,NA
"24.63538","-81.05088","MT09","MT09",NA,"n","FWC",NA,NA,NA
"24.6352","-81.04296","MT10","MT10",NA,"n","FWC","10.7",NA,"n"
"24.84605","-80.72339","R011","R011",NA,"n","FWC","2-3m","generally hard bottom with patches of sea grass in the area.  There are macro alga, some sponges, and octocorals",NA
"24.84746","-80.72738","R012","R012",NA,"n","FWC","2-3m","generally hard bottom with patches of sea grass in the area.  There are macro alga, some sponges, and octocorals",NA
"25.06656","-80.31081","Spiegel Grove Wreck","S.Grove",NA,"n","FWC",NA,NA,NA
"24.88473","-80.66448","SW1","SW1",NA,"n","FWC",NA,NA,NA
"24.87383","-80.66133","SW2","SW2",NA,"n","FWC",NA,NA,NA
"24.86608","-80.65567","SW4","SW4",NA,"n","FWC",NA,NA,NA
"24.85643","-80.64843","SW5","SW5",NA,"n","FWC",NA,NA,NA
"24.84867","-80.64215","SW6","SW6",NA,"n","FWC",NA,NA,NA
"24.84057","-80.63573","SW7","SW7",NA,"n","FWC",NA,NA,NA
"24.83175","-80.62877","SW8","SW8",NA,"n","FWC",NA,NA,NA
"24.53085","-81.46188","WRadolp","WRadolp",NA,"n","FWC","9.4",NA,"n"
"24.9958","-80.379","WRbibb","WRbibb",NA,"n","FWC",NA,NA,NA
"24.9904","-80.38066","WRduane","WRduane",NA,"n","FWC",NA,NA,NA
"24.46005","-81.73608","WRrvande","WRrvande",NA,"n","FWC","13.4",NA,"n"
"25.06656","-80.31081","WRspeig","WRspeig",NA,"n","FWC","12.2",NA,"n"
"24.66063","-80.96301","WRthund","WRthund",NA,"n","FWC","11",NA,"n"
"30.28853333","-87.22026667","3 Barges","3 Barges",NA,"n","FWC","17",NA,NA
"29.85238","-84.46507","DIR_inner, east","DIR_inner, east",NA,"n","FSU",NA,NA,NA
"29.75377","-84.896728","East Bay, east shore","East Bay, east shore",NA,"n","FSU",NA,NA,NA
"29.87009","-84.44495","Green Marker, DIR","Green Marker, DIR",NA,"n","FSU",NA,NA,NA
"30.27208333","-87.28738333","Marker # 2","Marker # 2",NA,"n","FWC","14",NA,NA
"29.20181667","-85.66781667","MS20","MS20",NA,"n","FWC",NA,NA,NA
"29.19728333","-85.67083","MS21","MS21",NA,"n","FWC",NA,NA,NA
"29.19246667","-85.67478333","MS22","MS22",NA,"n","FWC",NA,NA,NA
"29.18775","-85.677","MS23","MS23",NA,"n","FWC",NA,NA,NA
"29.1888","-85.683","MS24","MS24",NA,"n","FWC",NA,NA,NA
"29.18288333","-85.68063333","MS25","MS25",NA,"n","FWC",NA,NA,NA
