ODBA,resting,bursting,Tidal_Phase,Diel_Phase,Season,ID,Size
0.0668,0,0,2,2,1,3,84
0.0823,1.7,0,3,2,1,3,84
0.076,1.7,0,3,2,1,3,84
0.0705,0,0,3,3,1,3,84
0.0778,0,0,3,3,1,3,84
0.072,0,0,2,4,1,3,84
0.0899,0,0,2,4,1,3,84
0.0868,0,0,1,4,1,3,84
0.0909,0,0,1,4,1,3,84
0.0968,1.7,44,1,4,1,3,84
0.0849,0,0,1,4,1,3,84
0.0952,0,0,1,4,1,3,84
0.0818,0,0,2,4,1,3,84
0.0896,0,0,2,1,1,3,84
0.1375,0,0,3,1,1,3,84
0.0779,0,0,3,2,1,3,84
0.0769,0,0,3,2,1,3,84
0.0838,0,0,3,2,1,3,84
0.1075,0,0,2,2,1,3,84
0.0862,0,0,2,2,1,3,84
0.1017,0,0,1,2,1,3,84
0.1035,0,0,1,2,1,3,84
0.095,0,0,1,2,1,3,84
0.3456,0,0,1,2,1,3,84
0.118,0,0.7,1,2,1,3,84
0.0885,0,0,2,2,1,3,84
0.0782,0,0,2,2,1,3,84
0.1049,0,0,3,2,1,3,84
0.077,0,0,3,3,1,3,84
0.0846,5,0,3,3,1,3,84
0.1275,0,0,3,4,1,3,84
0.0939,0,0.1,2,4,1,3,84
0.1169,0,0,2,4,1,3,84
0.1414,0,0,1,4,1,3,84
0.0892,0,20,1,4,1,3,84
0.0844,0,18,1,4,1,3,84
0.0981,3.3,22,1,4,1,3,84
0.0978,0,0,1,4,1,3,84
0.0867,0,0,2,1,1,3,84
0.0961,0,0,2,1,1,3,84
0.0799,0,0,3,2,1,3,84
0.1036,0,0,3,2,1,3,84
0.0832,0,0,3,2,1,3,84
0.0819,0,0,3,2,1,3,84
0.082,0,0,2,2,1,3,84
0.0781,0,0,2,2,1,3,84
0.1029,1.7,0,1,2,1,3,84
0.1095,0,0,1,2,1,3,84
0.106,0,10,1,2,1,3,84
0.1565,0,0,1,2,1,3,84
0.1268,0,20,1,2,1,3,84
0.0801,0,1,2,2,1,3,84
0.0861,11.7,0,2,2,1,3,84
0.0871,0,0,3,3,1,3,84
0.0774,0,0,3,3,1,3,84
0.139,0,0,3,4,1,3,84
0.0985,0,0,3,4,1,3,84
0.0993,0,0,2,4,1,3,84
0.1101,0,0,2,4,1,3,84
0.0874,0,0,1,4,1,3,84
0.0797,0,0,1,4,1,3,84
0.1447,0,0,1,4,1,3,84
0.0837,0,10,1,4,1,3,84
0.0816,0,0,1,1,1,3,84
0.0777,0,0,2,1,1,3,84
0.0804,0,0,2,2,1,3,84
0.1063,0,0,3,2,1,3,84
0.0912,0,0,3,2,1,3,84
0.1107,0,0,3,2,1,3,84
0.1761,0,0.1,3,2,1,3,84
0.0983,0,0.3,2,2,1,3,84
0.0827,1.7,0,2,2,1,3,84
0.089,0,0,1,2,1,3,84
0.1127,0,0,1,2,1,3,84
0.1542,0,0,1,2,1,3,84
0.1704,0,12,1,2,1,3,84
0.1017,0,5,1,2,1,3,84
0.0252,0,0.1,2,2,1,3,84
0.0803,100,0,2,3,1,3,84
0.0269,60,0.1,3,3,1,3,84
0.162,100,0,3,4,1,3,84
0.099,0,0.1,3,4,1,3,84
0.1376,0,0,3,4,1,3,84
0.1018,0,0,2,4,1,3,84
0.1399,0,0,2,4,1,3,84
0.1243,0,0.1,1,4,1,3,84
0.0938,0,0.1,1,4,1,3,84
0.0855,0,0,1,4,1,3,84
0.0936,0,0,1,1,1,3,84
0.101,0,0,1,1,1,3,84
0.0558,3.3,0,2,2,1,3,84
0.0293,66.7,0,2,2,1,3,84
0.0917,100,0,3,2,1,3,84
0.1324,0,0,3,2,1,3,84
0.0884,0,0,3,2,1,3,84
0.1701,1.7,0,3,2,1,3,84
0.0772,0,0.2,2,2,1,3,84
0.1396,6.7,0,2,2,1,3,84
0.1703,0,0,1,2,1,3,84
0.1218,0,0,1,2,1,3,84
0.0793,0,0,2,2,1,4,101
0.0734,6.7,6.7,1,2,1,4,101
0.0824,8.3,5,1,2,1,4,101
0.105,6.7,0,1,2,1,4,101
0.07,0,6.7,1,2,1,4,101
0.0747,11.7,1.7,1,2,1,4,101
0.0902,16.7,1.7,2,3,1,4,101
0.0914,1.7,0,2,3,1,4,101
0.0747,16.7,0,3,4,1,4,101
0.0707,3.3,0,3,4,1,4,101
0.0642,10,3.3,3,4,1,4,101
0.0683,16.7,0,3,4,1,4,101
0.0378,38.3,10,2,4,1,4,101
0.083,80,0,2,4,1,4,101
0.1634,0,0,1,4,1,4,101
0.1509,0,0,1,4,1,4,101
0.0811,0,0,1,4,1,4,101
0.0975,0,0,1,4,1,4,101
0.0981,0,55,1,1,1,4,101
0.1453,0,35,2,1,1,4,101
0.0986,0,35,2,2,1,4,101
0.0756,0,41.7,3,2,1,4,101
0.1119,3.3,8.3,3,2,1,4,101
0.1278,3.3,21.7,3,2,1,4,101
0.0728,0,0,3,2,1,4,101
0.1525,0,0,2,2,1,4,101
0.0783,0,16.7,2,2,1,4,101
0.1239,0,0,1,2,1,4,101
0.0829,0,0,1,2,1,4,101
0.0949,0,0,1,2,1,4,101
0.1557,0,10,1,3,1,4,101
0.1031,0,12,1,3,1,4,101
0.0307,0,8.3,2,4,1,4,101
0.0375,100,0,2,4,1,4,101
0.0571,88.3,0,3,4,1,4,101
0.0595,65,0,3,4,1,4,101
0.0837,41.7,0,3,4,1,4,101
0.0831,0,18.3,3,4,1,4,101
0.1154,0,0,2,4,1,4,101
0.0667,0,10,2,4,1,4,101
0.1523,1.7,0,1,4,1,4,101
0.1299,0,28.3,1,4,1,4,101
0.1047,0,10,1,1,1,4,101
0.1538,0,17,1,1,1,4,101
0.1161,0,10,1,2,1,4,101
0.0911,0,43.3,2,2,1,4,101
0.0774,0,0,2,2,1,4,101
0.1285,0,3.3,3,2,1,4,101
0.112,0,20,3,2,1,4,101
0.0892,0,53.3,3,2,1,4,101
0.0957,10,5,3,2,1,4,101
0.0715,0,3.3,2,2,1,4,101
0.0665,5,0,2,2,1,4,101
0.0747,8.3,0,1,2,1,4,101
0.0907,5,0,1,3,1,4,101
0.1928,0,44,1,3,1,4,101
0.1561,0,5,1,4,1,4,101
0.0299,0,10,1,4,1,4,101
0.0563,100,0,2,4,1,4,101
0.03,71.7,6.7,2,4,1,4,101
0.0279,100,0,3,4,1,4,101
0.0736,100,0,3,4,1,4,101
0.097,8.3,3.3,3,4,1,4,101
0.1096,0,0,3,4,1,4,101
0.1075,0,0,2,4,1,4,101
0.099,0,0,2,4,1,4,101
0.0842,0,22,1,1,1,4,101
0.0815,0,14,1,1,1,4,101
0.083,0,0,1,2,1,4,101
0.0824,0,0,1,2,1,4,101
0.0787,0,16,1,2,1,4,101
0.0547,0,0,2,2,1,4,101
0.0692,0,0,2,2,2,5,101
0.1534,0,26.7,1,2,2,5,101
0.0983,0,1.7,1,2,2,5,101
0.0793,1.7,0,1,2,2,5,101
0.0791,0,28,1,2,2,5,101
0.1077,0,1.7,2,3,2,5,101
0.0837,0,0,2,3,2,5,101
0.0267,100,0,3,4,2,5,101
0.0249,100,0,3,4,2,5,101
0.0283,100,0,3,4,2,5,101
0.0636,0,0,3,4,2,5,101
0.0741,0,0,2,4,2,5,101
0.0789,0,0,2,4,2,5,101
0.0591,0,0,2,4,2,5,101
0.0959,0,0,1,4,2,5,101
0.0579,0,21,1,4,2,5,101
0.0771,0,27.7,1,4,2,5,101
0.0783,0,3.3,2,4,2,5,101
0.0583,13.3,0,2,1,2,5,101
0.0385,71.7,0,3,1,2,5,101
0.0576,0,0,3,2,2,5,101
0.0597,5,0,3,2,2,5,101
0.037,76.7,0,3,2,2,5,101
0.0985,0,1.7,2,2,2,5,101
0.0683,0,0,2,2,2,5,101
0.078,0,0,2,2,2,5,101
0.0569,0,10,1,2,2,5,101
0.0714,0,21,1,2,2,5,101
0.0606,16.7,0,1,2,2,5,101
0.1013,0,4,1,3,2,5,101
0.1093,0,13.3,2,3,2,5,101
0.0694,0,0,2,4,2,5,101
0.0292,100,0,3,4,2,5,101
0.0689,13.3,0,3,4,2,5,101
0.0265,100,0,3,4,2,5,101
0.0825,0,0,3,4,2,5,101
0.1038,0,8.3,2,4,2,5,101
0.104,0,0,2,4,2,5,101
0.0734,0,0,2,4,2,5,101
0.1077,0,18,1,4,2,5,101
0.0696,0,0,1,4,2,5,101
0.0782,0,1.7,1,4,2,5,101
0.0643,0,10,1,1,2,5,101
0.0679,3.3,0,2,1,2,5,101
0.0325,100,0,2,2,2,5,101
0.0589,10,0,3,2,2,5,101
0.0789,5,0,3,2,2,5,101
0.0467,35,0,3,2,2,5,101
0.0518,8.3,0,3,2,2,5,101
0.0717,3.3,3.3,2,2,2,5,101
0.0742,11.7,0,2,2,2,5,101
0.0648,15,0,2,2,2,5,101
0.0918,5,0,1,2,2,5,101
0.1121,0,8.3,1,3,2,5,101
0.0928,3.3,33,1,3,2,5,101
0.0703,1.7,3.3,1,4,2,5,101
0.0487,50,0,2,4,2,5,101
0.0267,100,0,2,4,2,5,101
0.093,25,5,3,4,2,5,101
0.0245,100,0,3,4,2,5,101
0.1027,0,3.3,3,4,2,5,101
0.0782,0,0,3,4,2,5,101
0.0608,0,0,2,4,2,5,101
0.0638,1.7,0,2,4,2,5,101
0.0612,0,0,2,4,2,5,101
0.0883,0,0,1,4,2,5,101
0.1026,0,0,1,1,2,5,101
0.1123,0,90,1,1,2,5,101
0.0525,30,0,1,2,2,5,101
0.0693,13.3,0,2,2,2,5,101
0.0596,3.3,0,2,2,2,5,101
0.0531,0,0,3,2,2,5,101
0.0542,1.7,0,3,2,2,5,101
0.0697,3.3,0,3,2,2,5,101
0.1275,0,5,3,2,2,5,101
0.1091,0,10,2,2,2,5,101
0.1041,0,1.7,2,2,2,5,101
0.0658,0,0,2,3,2,5,101
0.0798,3.3,0,1,3,2,5,101
0.0611,5,0,1,4,2,5,101
0.0666,10,0,1,4,2,5,101
0.095,0,0,1,4,2,5,101
0.0689,10,0,2,4,2,5,101
0.0287,100,0,2,4,2,5,101
0.1167,0,76.7,3,4,2,5,101
0.0677,5,0,3,4,2,5,101
0.0667,0,0,3,4,2,5,101
0.0584,5,0,3,4,2,5,101
0.0509,11.7,0,2,4,2,5,101
0.0691,6.7,0,2,4,2,5,101
0.0616,11.7,0,2,1,2,5,101
0.0536,8.3,0,1,1,2,5,101
0.0751,0,0,1,2,2,5,101
0.0846,46.7,8.3,1,2,2,5,101
0.0571,0,0,1,2,2,5,101
0.0689,1.7,0,2,2,2,5,101
0.0499,13.3,0,2,2,2,5,101
0.0672,0,0,3,2,2,5,101
0.0787,0,0,3,2,2,5,101
0.1453,0,8.3,3,2,2,5,101
0.1298,0,5,3,2,2,5,101
0.083,0,0,2,3,2,5,101
0.0671,1.7,0,2,3,2,5,101
0.0578,3.3,0,2,4,2,5,101
0.1026,13.3,0,1,4,2,5,101
0.0635,1.7,0,1,4,2,5,101
0.0284,100,0,1,4,2,5,101
0.0444,78.3,0,1,4,2,5,101
0.051,0,0,2,4,2,5,101
0.0482,3.3,0,2,4,2,5,101
0.0784,0,0,3,4,2,5,101
0.0879,0,8.3,3,4,2,5,101
0.0875,0,0,3,4,2,5,101
0.067,0,0,3,4,2,5,101
0.0634,0,0,2,1,2,5,101
0.0731,0,0,2,1,2,5,101
0.0671,0,0,2,2,2,5,101
0.0646,1.7,0,1,2,2,5,101
0.0557,13.3,0,1,2,2,5,101
0.0548,0,0,1,2,2,5,101
0.0623,0,0,2,2,1,6,103
0.0757,13.3,0,1,2,1,6,103
0.096,0,0,1,2,1,6,103
0.0999,3.3,0,1,2,1,6,103
0.0998,0,0,1,2,1,6,103
0.1089,0,0,1,2,1,6,103
0.0846,0,0,2,3,1,6,103
0.0799,0,0,2,3,1,6,103
0.0323,100,0,3,4,1,6,103
0.0637,0,0,3,4,1,6,103
0.0674,0,0,3,4,1,6,103
0.0651,5,0,3,4,1,6,103
0.0634,0,0,2,4,1,6,103
