ODBA ,resting,bursting,Tidal_Phase,Diel_Phase,Season,ID,Size
0.112409,0,0,1,4,1,1,78
0.0938149,0,0,1,4,1,1,78
0.149125,0,73.33,1,4,1,1,78
0.110209,0,33.33,1,4,1,1,78
0.0942882,0,1.67,1,4,1,1,78
0.118526,0,38.33,1,4,1,1,78
0.125083,0,33.33,1,4,1,1,78
0.187737,0,68.33,1,4,1,1,78
0.140228,0,45,1,4,1,1,78
0.104991,0,0,1,4,1,1,78
0.0871309,0,0,1,4,1,1,78
0.0992814,0,13.33,1,4,1,1,78
0.0742425,0,0,1,4,1,1,78
0.0856622,0,0,1,4,1,1,78
0.083119,0,1.67,1,4,1,1,78
0.0876082,0,5,1,4,1,1,78
0.0868865,0,5,1,4,1,1,78
0.0832168,0,0,1,4,1,1,78
0.0897413,0,0,1,4,1,1,78
0.0753571,0,0,1,4,1,1,78
0.103225,0,8.33,1,4,1,1,78
0.0829773,0,0,1,4,1,1,78
0.0753397,0,0,1,4,1,1,78
0.0759455,0,0,1,4,1,1,78
0.0787242,0,3.33,1,4,1,1,78
0.124677,0,45,1,4,1,1,78
0.0816563,0,0,2,4,1,1,78
0.092532,0,0,2,4,1,1,78
0.091867,0,3.33,2,4,1,1,78
0.089835,0,3.33,2,4,1,1,78
0.0953142,0,3.33,2,4,1,1,78
0.113049,0,16.67,2,4,1,1,78
0.110292,0,16.67,2,4,1,1,78
0.0931382,0,1.67,2,4,1,1,78
0.0880623,0,0,2,4,1,1,78
0.0938452,0,10,2,4,1,1,78
0.158106,0,11.67,2,4,1,1,78
0.138946,0,0,2,4,1,1,78
0.125338,0,5,2,4,1,1,78
0.111363,0,26.67,2,4,1,1,78
0.121589,0,41.67,2,4,1,1,78
0.105698,0,13.33,2,4,1,1,78
0.102454,0,11.67,2,4,1,1,78
0.0839022,0,0,2,4,1,1,78
0.0971757,0,11.67,2,4,1,1,78
0.0819205,0,0,2,4,1,1,78
0.0872414,0,0,2,4,1,1,78
0.101015,0,6.67,2,4,1,1,78
0.0980598,0,3.33,2,4,1,1,78
0.10789,0,6.67,2,4,1,1,78
0.132051,0,20,2,4,1,1,78
0.0852395,0,1.67,2,4,1,1,78
0.076941,0,0,3,4,1,1,78
0.0799422,0,6.67,3,1,1,1,78
0.0646896,3.33,0,3,1,1,1,78
0.0912287,0,10,3,1,1,1,78
0.0759128,0,0,3,1,1,1,78
0.0801103,0,0,3,1,1,1,78
0.072686,0,0,3,1,1,1,78
0.097355,0,11.67,3,1,1,1,78
0.0847935,0,1.67,3,1,1,1,78
0.0820505,1.67,0,3,1,1,1,78
0.086643,0,1.67,3,1,1,1,78
0.101294,0,16.67,3,1,1,1,78
0.103915,0,15,3,1,1,1,78
0.0892102,0,5,3,1,1,1,78
0.0840819,0,0,3,1,1,1,78
0.0690245,3.33,1.67,3,1,1,1,78
0.069281,0,0,3,1,1,1,78
0.0726427,0,0,3,1,1,1,78
0.0748433,0,0,3,1,1,1,78
0.0818594,0,0,3,1,1,1,78
0.0762868,0,0,3,1,1,1,78
0.0784193,0,1.67,3,1,1,1,78
0.083018,0,3.33,3,1,1,1,78
0.0826737,0,0,3,1,1,1,78
0.0753415,3.33,0,3,1,1,1,78
0.0766277,0,3.33,3,2,1,1,78
0.079156,0,0,3,2,1,1,78
0.076819,0,0,3,2,1,1,78
0.0806222,0,0,3,2,1,1,78
0.085101,0,5,3,2,1,1,78
0.0798887,0,0,3,2,1,1,78
0.103471,0,3.33,3,2,1,1,78
0.0811372,0,0,3,2,1,1,78
0.0758667,10,0,3,2,1,1,78
0.0883777,5,5,3,2,1,1,78
0.0797187,0,1.67,3,2,1,1,78
0.0796382,0,0,3,2,1,1,78
0.0792227,0,0,3,2,1,1,78
